scheme_name,min_age,max_age,gender,max_income
प्रधानमंत्री आवास योजना,18,70,Any,300000
सुकन्या समृद्धि योजना,0,10,Female,500000
प्रधानमंत्री किसान सम्मान निधि,18,65,Any,200000
बेटी बचाओ बेटी पढ़ाओ,0,18,Female,400000
आयुष्मान भारत योजना,18,80,Any,250000
प्रधानमंत्री उज्ज्वला योजना,18,70,Female,250000
प्रधानमंत्री जन धन योजना,0,100,Any,500000
अटल पेंशन योजना,18,40,Any,300000
प्रधानमंत्री जीवन ज्योति बीमा योजना,18,50,Any,400000
प्रधानमंत्री सुरक्षा बीमा योजना,18,70,Any,500000
किसान क्रेडिट कार्ड योजना,18,65,Any,300000
राष्ट्रीय सामाजिक सहायता पेंशन योजना,60,100,Any,200000
वृद्धावस्था पेंशन योजना,60,100,Any,200000
विधवा पेंशन योजना,18,100,Female,200000
दिव्यांग पेंशन योजना,18,100,Any,250000
प्रधानमंत्री मातृत्व वंदना योजना,18,45,Female,300000
जननी सुरक्षा योजना,18,45,Female,300000
राष्ट्रीय पोषण मिशन,0,6,Female,300000
बालिका समृद्धि योजना,0,18,Female,400000
राष्ट्रीय बाल स्वास्थ्य कार्यक्रम,0,18,Any,500000
कौशल विकास योजना,18,35,Any,400000
प्रधानमंत्री मुद्रा योजना,18,65,Any,500000
स्टैंड अप इंडिया योजना,18,65,Any,600000
स्टार्टअप इंडिया योजना,18,60,Any,800000
राष्ट्रीय ग्रामीण आजीविका मिशन,18,60,Any,300000
राष्ट्रीय शहरी आजीविका मिशन,18,60,Any,300000
प्रधानमंत्री श्रम योगी मानधन,18,40,Any,150000
ई-श्रम कार्ड योजना,18,60,Any,200000
प्रधानमंत्री फसल बीमा योजना,18,65,Any,400000
किसान मानधन योजना,18,40,Any,150000
राष्ट्रीय स्वास्थ्य बीमा योजना,18,70,Any,250000
प्रधानमंत्री विद्युत सब्सिडी योजना,18,70,Any,300000
स्वच्छ भारत मिशन,0,100,Any,500000
जल जीवन मिशन,0,100,Any,500000
प्रधानमंत्री ग्रामीण सड़क योजना,18,100,Any,500000
प्रधानमंत्री रोजगार सृजन कार्यक्रम,18,50,Any,400000
राष्ट्रीय खाद्य सुरक्षा योजना,0,100,Any,200000
अन्नपूर्णा योजना,60,100,Any,200000
मिड डे मील योजना,6,14,Any,400000
प्रधानमंत्री छात्रवृत्ति योजना,10,30,Any,500000
पोस्ट मैट्रिक छात्रवृत्ति योजना,15,30,Any,400000
राष्ट्रीय छात्रवृत्ति योजना,10,30,Any,500000
कन्या सुमंगला योजना,0,18,Female,300000
लाडली लक्ष्मी योजना,0,21,Female,300000
मुख्यमंत्री कन्या विवाह योजना,18,30,Female,250000
मुख्यमंत्री स्वरोजगार योजना,18,45,Any,400000
मुख्यमंत्री आवास योजना,18,70,Any,300000
मुख्यमंत्री वृद्धजन पेंशन योजना,60,100,Any,200000
मुख्यमंत्री निशक्त पेंशन योजना,18,100,Any,250000
प्रधानमंत्री डिजिटल साक्षरता अभियान,14,60,Any,500000
राष्ट्रीय वृद्धजन स्वास्थ्य कार्यक्रम,60,100,Any,300000
प्रधानमंत्री आयुष स्वास्थ्य योजना,18,80,Any,300000
प्रधानमंत्री फ्री राशन योजना,0,100,Any,200000
राष्ट्रीय महिला सशक्तिकरण योजना,18,60,Female,400000
प्रधानमंत्री बालिका शिक्षा योजना,6,18,Female,300000
प्रधानमंत्री किसान पेंशन योजना,18,40,Any,150000
प्रधानमंत्री ग्रामीण रोजगार योजना,18,60,Any,250000
मनरेगा योजना,18,60,Any,250000
प्रधानमंत्री हर घर नल योजना,0,100,Any,500000
प्रधानमंत्री स्वनिधि योजना,18,60,Any,300000
प्रधानमंत्री रोजगार बीमा योजना,18,60,Any,400000
प्रधानमंत्री शिक्षा प्रोत्साहन योजना,6,25,Any,400000
प्रधानमंत्री खेल प्रोत्साहन योजना,10,35,Any,500000
प्रधानमंत्री महिला उद्यमिता योजना,18,60,Female,500000
प्रधानमंत्री युवा उद्यमिता योजना,18,35,Any,400000
प्रधानमंत्री कुपोषण मुक्त भारत,0,6,Female,300000
राष्ट्रीय बालिका सुरक्षा योजना,0,18,Female,400000
